Date,Close,AbsDays,LogClose
2018-09-24,11,3551,1.0413926851582251
2018-10-15,1,3572,0.0
2018-10-22,7,3579,0.8450980400142568
2018-10-29,5,3586,0.6989700043360189
2018-11-05,754,3593,2.877371345869774
2018-11-12,1777,3600,3.2496874278053016
2018-11-19,209,3607,2.3201462861110542
2018-11-26,198,3614,2.296665190261531
2018-12-03,181,3621,2.257678574869185
2018-12-10,189,3628,2.2764618041732443
2018-12-17,107,3635,2.0293837776852097
2018-12-24,9,3642,0.9542425094393248
2018-12-31,12,3649,1.0791812460476249
2019-01-07,13,3656,1.1139433523068367
2019-01-14,19,3663,1.2787536009528289
2019-01-21,12,3670,1.0791812460476249
2019-01-28,8,3677,0.9030899869919436
2019-02-04,41,3684,1.6127838567197357
2019-02-11,58,3691,1.7634279935629371
2019-02-18,46,3698,1.662757831681574
2019-02-25,5112,3705,3.708590845150343
2019-03-04,7921,3712,3.8987800132898256
2019-03-11,8442,3719,3.9264453478183894
2019-03-18,5023,3726,3.700963178159549
2019-03-25,5065,3733,3.704579449696299
2019-04-01,5082,3740,3.7060346607143506
2019-04-08,5203,3747,3.716253825896037
2019-04-15,5238,3754,3.719165494089214
2019-04-22,5109,3761,3.708335902682263
2019-04-29,4943,3768,3.693990610460777
2019-05-06,5027,3775,3.7013088852280753
2019-05-13,3757,3782,3.5748411950633847
2019-05-20,5123,3789,3.709524355876341
2019-05-27,5042,3796,3.7026028413404273
2019-06-03,5014,3803,3.7001843296221977
2019-06-10,5052,3810,3.703463341883293
2019-06-17,3085,3817,3.4892551683692603
2019-06-24,4861,3824,3.686725621074542
2019-07-01,4974,3831,3.696705780933917
2019-07-08,5361,3838,3.7292458072253063
2019-07-15,5187,3845,3.714916247993585
2019-07-22,3902,3852,3.591287265058499
2019-07-29,2652,3859,3.4235735197327357
2019-08-05,4036,3866,3.605951157564873
2019-08-12,5042,3873,3.7026028413404273
2019-08-19,5116,3880,3.708930535806617
2019-08-26,5644,3887,3.7515870050823104
2019-09-02,4968,3894,3.696181587168524
2019-09-09,5129,3901,3.7100326990657537
2019-09-16,5145,3908,3.711385379098452
2019-09-23,5135,3915,3.710540447933297
2019-09-30,5210,3922,3.7168377232995247
2019-10-07,5566,3929,3.745543201998024
2019-10-14,5732,3936,3.758306181725307
2019-10-21,6089,3943,3.7845459740545224
2019-10-28,6347,3950,3.802568498313956
2019-11-04,6211,3957,3.793161529245551
2019-11-11,6297,3964,3.7991336933020623
2019-11-18,6561,3971,3.816970037757299
2019-11-25,7513,3978,3.8758133888397577
2019-12-02,9121,3985,3.9600424557268417
2019-12-09,10080,3992,4.003460532109506
2019-12-16,9950,3999,3.9978230807457256
2019-12-23,10052,4006,4.002252479920538
2019-12-30,9900,4013,3.99563519459755
2020-01-06,10959,4020,4.039770926931579
2020-01-13,10974,4027,4.040364955860061
2020-01-20,10996,4034,4.041234731171431
2020-01-27,11177,4041,4.048325250931222
2020-02-03,11026,4048,4.04241798814325
2020-02-10,10334,4055,4.014268457209643
2020-02-17,8426,4062,3.925621454790829
2020-02-24,8703,4069,3.9396689835223264
2020-03-02,8315,4076,3.919862253555538
2020-03-09,6942,4083,3.841484609335393
2020-03-16,7177,4090,3.855942946232316
2020-03-23,7622,4097,3.882068944436148
2020-03-30,9117,4104,3.959851954799605
2020-04-06,9076,4111,3.9578944872128985
2020-04-13,9078,4118,3.9579901784068303
2020-04-20,10248,4125,4.0106391167366295
2020-04-27,13103,4132,4.117370741020906
2020-05-04,10201,4139,4.008642747565285
2020-05-11,11623,4146,4.065318237803737
2020-05-18,10940,4153,4.039017321997412
2020-05-25,11772,4160,4.070850253427573
2020-06-01,10416,4167,4.017700971224117
2020-06-08,10580,4174,4.024485667699167
2020-06-15,10283,4181,4.012119835804513
